COUNTRY,amount,year,UNIT_TYPE_DESCR
AT,317988971,2013,"ERU - Emission Reduction Unit"
SK,263197277,2013,"ERU - Emission Reduction Unit"
IT,200718112,2015,"ERU - Emission Reduction Unit"
DE,8303131,2016,"ERU - Emission Reduction Unit"
IT,4116581,2016,"ERU - Emission Reduction Unit"
GB,1590519420,2012,"ERU - Emission Reduction Unit"
NL,554408537,2012,"ERU - Emission Reduction Unit"
NL,623280684,2015,"ERU - Emission Reduction Unit"
IT,420074960,2012,"ERU - Emission Reduction Unit"
IT,367749011,2013,"ERU - Emission Reduction Unit"
AU,35320558,2012,"ERU - Emission Reduction Unit"
DE,230429708,2014,"ERU - Emission Reduction Unit"
BE,155605085,2014,"ERU - Emission Reduction Unit"
ES,105577620,2014,"ERU - Emission Reduction Unit"
PL,71974950,2014,"ERU - Emission Reduction Unit"
SE,47573242,2014,"ERU - Emission Reduction Unit"
FI,37188003,2014,"ERU - Emission Reduction Unit"
GB,397452163,2014,"ERU - Emission Reduction Unit"
FR,75204570,2014,"ERU - Emission Reduction Unit"
NL,67369445,2014,"ERU - Emission Reduction Unit"
GR,315192078,2013,"ERU - Emission Reduction Unit"
TR,1146801,2012,"ERU - Emission Reduction Unit"
NO,230856483,2012,"ERU - Emission Reduction Unit"
RO,48648002,2014,"ERU - Emission Reduction Unit"
GB,429092028,2015,"ERU - Emission Reduction Unit"
AT,11742690,2014,"ERU - Emission Reduction Unit"
DK,32891711,2014,"ERU - Emission Reduction Unit"
GR,345130198,2015,"ERU - Emission Reduction Unit"
IT,111106229,2014,"ERU - Emission Reduction Unit"
NO,5310482,2014,"ERU - Emission Reduction Unit"
LT,489318725,2013,"ERU - Emission Reduction Unit"
LT,453475061,2015,"ERU - Emission Reduction Unit"
HU,19528527,2014,"ERU - Emission Reduction Unit"
IE,8934229,2014,"ERU - Emission Reduction Unit"
CZ,85816834,2014,"ERU - Emission Reduction Unit"
HR,1447064,2015,"ERU - Emission Reduction Unit"
SK,32977717,2014,"ERU - Emission Reduction Unit"
PT,9581503,2014,"ERU - Emission Reduction Unit"
LU,675433,2014,"ERU - Emission Reduction Unit"
BG,250665471,2012,"ERU - Emission Reduction Unit"
GR,11249779,2014,"ERU - Emission Reduction Unit"
LV,29390821,2014,"ERU - Emission Reduction Unit"
BG,375259463,2015,"ERU - Emission Reduction Unit"
BG,326268656,2013,"ERU - Emission Reduction Unit"
