MAIN_ACT,net,year
Mineral oil refineries,510184,2015
Other activity,4789,2015
Prodcution of aluminium,141035,2015
Production of adipic acid,-199350,2015
Production of ammonia,224906,2015
Production of bulk chemicals,6381,2015
Production of carbon black,39261,2015
production of cement clinker ,-77436,2015
Production of coke,137475,2015
Production of glyoxal and glyoxylic acid,892,2015
Production of gypsum or plasterboard,-3980,2015
Production of hydrogen and synthesis gas,0,2015
Production of metals,11316,2015
Production of nitric acid,-106905,2015
production of pig iron or steel ,2776,2015
Production of quicklime,1304,2015
Production of sodium carbonates,-554688,2015
Refining of mineral oil,1088168,2015
 manufacture of ceramic,-1524,2014
 production of pulp or other fibrous materials ,-30269,2014
Aviation,0,2014
Capture of greenhouse gases ,0,2014
Combustion installations ,0,2014
Combustion of fuels,24345,2014
manufacture of glass,-1869,2014
Manufacture of mineral wool,-8842,2014
Metal ore roasting or sintering,1207,2014
Mineral oil refineries,615580,2014
Other activity,7584,2014
Prodcution of aluminium,128204,2014
Production of adipic acid,-202394,2014
Production of ammonia,240554,2014
Production of bulk chemicals,3367,2014
Production of carbon black,34281,2014
production of cement clinker ,-85243,2014
Production of coke,192913,2014
Production of glyoxal and glyoxylic acid,3425,2014
Production of gypsum or plasterboard,-4509,2014
Production of hydrogen and synthesis gas,0,2014
Production of metals,7701,2014
Production of nitric acid,-108537,2014
production of pig iron or steel ,3642,2014
Production of quicklime,8882,2014
Production of sodium carbonates,-553297,2014
Refining of mineral oil,954015,2014
 manufacture of ceramic,-5351,2013
 production of pulp or other fibrous materials ,-43444,2013
Aviation,0,2013
Capture of greenhouse gases ,0,2013
Combustion installations ,0,2013
Combustion of fuels,24404,2013
manufacture of glass,-2463,2013
Manufacture of mineral wool,-8917,2013
Metal ore roasting or sintering,-13921,2013
Mineral oil refineries,690133,2013
Other activity,12689,2013
Prodcution of aluminium,124051,2013
Production of adipic acid,-207207,2013
Production of ammonia,94541,2013
Production of bulk chemicals,4721,2013
Production of carbon black,0,2013
production of cement clinker ,-102295,2013
Production of coke,143372,2013
Production of glyoxal and glyoxylic acid,2008,2013
Production of gypsum or plasterboard,1641,2013
Production of hydrogen and synthesis gas,0,2013
Production of metals,4699,2013
Production of nitric acid,-110820,2013
production of pig iron or steel ,-17451,2013
Production of quicklime,7946,2013
Production of sodium carbonates,-638859,2013
Refining of mineral oil,1023478,2013
 manufacture of ceramic,-28479,2012
 production of pulp or other fibrous materials ,-264877,2012
Aviation,0,2012
Capture of greenhouse gases ,0,2012
Combustion installations ,-5040,2012
Combustion of fuels,6260,2012
manufacture of glass,-12080,2012
Manufacture of mineral wool,-20700,2012
Metal ore roasting or sintering,-434573,2012
Mineral oil refineries,-42190,2012
Other activity,0,2012
Prodcution of aluminium,-46487,2012
Production of adipic acid,0,2012
Production of ammonia,0,2012
Production of bulk chemicals,0,2012
Production of carbon black,0,2012
production of cement clinker ,-62548,2012
Production of coke,-53173,2012
Production of glyoxal and glyoxylic acid,0,2012
Production of gypsum or plasterboard,0,2012
Production of hydrogen and synthesis gas,0,2012
Production of metals,0,2012
Production of nitric acid,-164483,2012
production of pig iron or steel ,-32738,2012
Production of quicklime,6639,2012
Production of sodium carbonates,0,2012
Refining of mineral oil,101090,2012
 manufacture of ceramic,-27861,2011
 production of pulp or other fibrous materials ,-111664,2011
Aviation,0,2011
Capture of greenhouse gases ,0,2011
Combustion installations ,-4834,2011
Combustion of fuels,6211,2011
manufacture of glass,-12528,2011
Manufacture of mineral wool,-7960,2011
Metal ore roasting or sintering,-411411,2011
Mineral oil refineries,84518,2011
Other activity,0,2011
